pecha_id,split,source_batch,chars,n_gold
I001D528B,train,new,207753,22
I0156A8B1,val,new,62574,1
I048844DB,val,new,50543,1
I058DD999,train,new,165717,47
I069801F1,train,new,55881,6
I07240379,train,new,140805,14
I07ECF0AE,train,new,93532,76
I08405360,train,new,346900,1
I0B81CD66,train,new,347591,2
I0FCFA88F,test,new,239456,7
I0FE9ED9E,train,new,128031,1
I100E7DAD,train,new,341946,4
I10C4C4B5,val,new,206837,1
I130B5D0F,train,new,82233,11
I1561B2F5,train,new,13012,1
I163178A0,train,new,7522,1
I1649804C,train,new,40079,1
I19A08A51,val,new,14897,1
I1CC06C39,train,new,135290,1
I1DCBD5CC,train,new,151607,2
I2133CA39,train,new,299998,8
I2342D649,train,new,453046,1
I24EDBDA0,train,new,559845,5
I2522EBB0,train,new,29975,4
I25463E37,train,new,162273,14
I27E347E9,train,new,402984,6
I27F687A4,train,new,87045,2
I29CFF9F3,train,new,281600,2
I29E8AA65,train,new,270007,33
I2B02A144,train,new,560215,3
I2BC62A6F,train,new,177286,1
I2D0F4FAF,val,new,30011,1
I2D96E5C8,train,new,570550,4
I2E02CF4A,train,new,102690,1
I2E52374B,train,new,100711,1
I2EAAF38A,val,new,133233,130
I2F35E7CC,train,new,13464,1
I319DAFF7,test,new,6503,1
I31F3338B,train,new,12232,1
I32431963,train,new,21239,1
I330D366C,train,new,129105,17
I33763376,train,new,111066,1
I340B9EC1,train,new,30365,1
I344D2A4C,train,new,14162,1
I36A7A668,train,new,360191,11
I3B871A64,train,new,26690,1
I3D257F64,train,new,160319,1
I3D6910F9,train,new,147301,1
I3F4A91F5,test,new,330806,11
I40E5024E,train,new,198256,17
I41DA990D,train,new,20983,1
I4232A561,train,new,25678,1
I44B84506,train,new,209052,32
I45222122,test,new,292571,1
I454D2699,val,new,78275,1
I4A6AC1AA,train,new,28737,1
I4ABDA91A,val,new,521338,3
I4B1806B4,val,new,204827,4
I4BECA32D,val,new,281933,1
I4C242C84,train,new,487134,113
I4CAE7B8B,train,new,260997,8
I4DFE9067,test,new,78679,2
I4EE8C636,train,new,407949,2
I4FABF1F8,train,new,247608,9
I4FD99A33,val,new,293101,14
I4FDF07E7,val,new,10399,1
I5048861E,train,new,26999,1
I5134B437,train,new,336701,12
I518A01A8,train,new,290789,11
I52248444,test,new,234035,15
I52F33C02,train,new,279669,1
I54375004,train,new,111178,1
I55D7A55C,train,new,30274,1
I55E4B626,train,new,11441,1
I575514A8,test,new,55550,7
I577D1677,train,new,37932,1
I57BB7B28,train,new,583830,3
I587B7DED,train,new,22518,1
I58E33EFF,train,new,12033,4
