pecha_id,batch,n_raw,n_final,unfixed_rate,shape_rate,verdict
I001D528B,new,22,22,0.0,1.0,keep
I0156A8B1,new,1,1,0.0,1.0,keep
I048844DB,new,1,1,0.0,1.0,keep
I058DD999,new,47,47,0.0,1.0,keep
I069801F1,new,6,6,0.0,1.0,keep
I07240379,new,14,14,0.0,1.0,keep
I07ECF0AE,new,76,76,0.0,1.0,keep
I08405360,new,1,1,0.0,1.0,keep
I0B81CD66,new,2,2,0.0,1.0,keep
I0FCFA88F,new,7,7,0.0,1.0,keep
I0FE9ED9E,new,1,1,0.0,1.0,keep
I100E7DAD,new,4,4,0.0,1.0,keep
I10C4C4B5,new,1,1,0.0,1.0,keep
I130B5D0F,new,11,11,0.0,1.0,keep
I1561B2F5,new,1,1,0.0,1.0,keep
I163178A0,new,1,1,0.0,1.0,keep
I1649804C,new,1,1,0.0,1.0,keep
I19A08A51,new,1,1,0.0,1.0,keep
I1CC06C39,new,1,1,0.0,1.0,keep
I1DCBD5CC,new,2,2,0.0,1.0,keep
I2133CA39,new,8,8,0.0,1.0,keep
I2342D649,new,1,1,0.0,1.0,keep
I24EDBDA0,new,5,5,0.0,1.0,keep
I2522EBB0,new,4,4,0.0,1.0,keep
I25463E37,new,14,14,0.0,1.0,keep
I27E347E9,new,6,6,0.0,1.0,keep
I27F687A4,new,2,2,0.0,1.0,keep
I29CFF9F3,new,2,2,0.0,0.5,keep
I29E8AA65,new,33,33,0.0,1.0,keep
I2B02A144,new,3,3,0.0,1.0,keep
I2BC62A6F,new,1,1,0.0,1.0,keep
I2D0F4FAF,new,1,1,0.0,0.0,keep
I2D96E5C8,new,4,4,0.0,1.0,keep
I2E02CF4A,new,1,1,0.0,1.0,keep
I2E52374B,new,1,1,0.0,1.0,keep
I2EAAF38A,new,130,130,0.0,0.985,keep
I2F35E7CC,new,1,1,0.0,1.0,keep
I319DAFF7,new,1,1,0.0,1.0,keep
I31F3338B,new,1,1,0.0,1.0,keep
I32431963,new,1,1,0.0,1.0,keep
I330D366C,new,17,17,0.0,1.0,keep
I33763376,new,1,1,0.0,1.0,keep
I340B9EC1,new,1,1,0.0,1.0,keep
I344D2A4C,new,1,1,0.0,1.0,keep
I36A7A668,new,11,11,0.0,1.0,keep
I3B871A64,new,1,1,0.0,1.0,keep
I3D257F64,new,1,1,0.0,1.0,keep
I3D6910F9,new,1,1,0.0,1.0,keep
I3F4A91F5,new,11,11,0.0,1.0,keep
I40E5024E,new,17,17,0.0,1.0,keep
I41DA990D,new,1,1,0.0,1.0,keep
I4232A561,new,1,1,0.0,1.0,keep
I44B84506,new,32,32,0.0,1.0,keep
I45222122,new,1,1,0.0,1.0,keep
I454D2699,new,1,1,0.0,1.0,keep
I4A6AC1AA,new,1,1,0.0,1.0,keep
I4ABDA91A,new,3,3,0.0,1.0,keep
I4B1806B4,new,4,4,0.0,1.0,keep
I4BECA32D,new,1,1,0.0,1.0,keep
I4C242C84,new,113,113,0.0,1.0,keep
I4CAE7B8B,new,8,8,0.0,1.0,keep
I4DFE9067,new,2,2,0.0,1.0,keep
I4EE8C636,new,2,2,0.0,1.0,keep
I4FABF1F8,new,9,9,0.0,1.0,keep
I4FD99A33,new,14,14,0.0,1.0,keep
I4FDF07E7,new,1,1,0.0,1.0,keep
I5048861E,new,1,1,0.0,1.0,keep
I5134B437,new,12,12,0.0,1.0,keep
I518A01A8,new,11,11,0.0,1.0,keep
I52248444,new,15,15,0.0,1.0,keep
I52F33C02,new,1,1,0.0,1.0,keep
I54375004,new,1,1,0.0,1.0,keep
I55D7A55C,new,1,1,0.0,1.0,keep
I55E4B626,new,1,1,0.0,1.0,keep
I575514A8,new,7,7,0.0,1.0,keep
I577D1677,new,1,1,0.0,1.0,keep
I57BB7B28,new,3,3,0.0,1.0,keep
I587B7DED,new,1,1,0.0,1.0,keep
I58E33EFF,new,4,4,0.0,1.0,keep
I5AEEE5CA,new,1,1,0.0,1.0,keep
I5BFCBB3F,new,1,1,0.0,1.0,keep
I5F5D9F5A,new,8,8,0.0,1.0,keep
I60D0ED54,new,1,1,0.0,1.0,keep
I617FDD1E,new,1,1,0.0,1.0,keep
I6193773E,new,1,1,0.0,1.0,keep
I62D7430C,new,1,1,0.0,1.0,keep
I6380CEC4,new,5,5,0.0,1.0,keep
I64B5DDDD,new,1,1,0.0,1.0,keep
I6A834445,new,1,1,0.0,1.0,keep
I6D11E414,new,15,15,0.0,1.0,keep
I6D4C317A,new,10,10,0.0,1.0,keep
