pecha_id,start,end_exclusive
I001D528B,160,259
I001D528B,261,299
I001D528B,4415,4447
I001D528B,9561,9592
I001D528B,15292,15328
I001D528B,21065,21084
I001D528B,22341,22365
I001D528B,29412,29468
I001D528B,39889,39928
I001D528B,47909,47950
I001D528B,60112,60147
I001D528B,75323,75376
I001D528B,78266,78295
I001D528B,81337,81384
I001D528B,119834,119862
I001D528B,130786,130818
I001D528B,142484,142542
I001D528B,156584,156621
I001D528B,165517,165558
I001D528B,173636,173686
I001D528B,184101,184148
I001D528B,188944,188982
I0156A8B1,57,170
I048844DB,60,131
I058DD999,128,148
I058DD999,150,173
I058DD999,2535,2592
I058DD999,5266,5325
I058DD999,19269,19338
I058DD999,21153,21186
I058DD999,22602,22625
I058DD999,23942,23985
I058DD999,24821,24852
I058DD999,25485,25514
I058DD999,26339,26361
I058DD999,26363,26477
I058DD999,26480,26539
I058DD999,37468,37543
I058DD999,45457,45604
I058DD999,64438,64484
I058DD999,74041,74065
I058DD999,83966,83997
I058DD999,85159,85183
I058DD999,85185,85224
I058DD999,88511,88536
I058DD999,90070,90086
I058DD999,90559,90576
I058DD999,91254,91280
I058DD999,91669,91695
I058DD999,103317,103354
I058DD999,103356,103389
I058DD999,125667,125706
I058DD999,134534,134576
I058DD999,139273,139308
I058DD999,139309,139336
I058DD999,140516,140557
I058DD999,141787,141847
I058DD999,142995,143113
I058DD999,145136,145179
I058DD999,146008,146047
I058DD999,147013,147042
I058DD999,147542,147571
I058DD999,148332,148474
I058DD999,150363,150420
I058DD999,151537,151632
I058DD999,153373,153434
I058DD999,155670,155705
I058DD999,156661,156687
I058DD999,156689,156711
I058DD999,160622,160654
I058DD999,164073,164101
I069801F1,920,956
I069801F1,13828,13889
I069801F1,19325,19386
I069801F1,28845,28883
I069801F1,39268,39333
I069801F1,41735,41791
I07240379,111,241
I07240379,274,352
I07240379,354,427
I07240379,474,580
I07240379,619,675
I07240379,708,755
I07240379,788,838
I07240379,868,874
I07240379,3053,3070
I07240379,9922,10068
I07240379,20229,20312
I07240379,90589,90640
I07240379,99697,99769
I07240379,139327,139345
I07ECF0AE,125,135
I07ECF0AE,598,626
I07ECF0AE,4987,4993
I07ECF0AE,5036,5066
I07ECF0AE,5068,5099
I07ECF0AE,5148,5194
I07ECF0AE,5196,5220
I07ECF0AE,5413,5468
I07ECF0AE,5470,5485
I07ECF0AE,5851,5853
I07ECF0AE,7378,7380
I07ECF0AE,7995,7997
I07ECF0AE,9362,9364
I07ECF0AE,9914,9916
I07ECF0AE,10616,10618
I07ECF0AE,11243,11245
I07ECF0AE,11646,11648
I07ECF0AE,12478,12480
I07ECF0AE,13486,13488
I07ECF0AE,14031,14033
I07ECF0AE,14998,15000
I07ECF0AE,15700,15702
I07ECF0AE,16183,16185
I07ECF0AE,16843,16845
I07ECF0AE,17220,17222
I07ECF0AE,17759,17761
I07ECF0AE,18557,18559
I07ECF0AE,19138,19140
I07ECF0AE,19487,19489
I07ECF0AE,19568,19570
I07ECF0AE,20088,20090
I07ECF0AE,20567,20569
I07ECF0AE,20632,20634
I07ECF0AE,20838,20840
I07ECF0AE,20983,20985
I07ECF0AE,21090,21092
I07ECF0AE,21511,21513
I07ECF0AE,22424,22426
I07ECF0AE,22602,22604
I07ECF0AE,22746,22762
I07ECF0AE,24384,24400
I07ECF0AE,28442,28504
I07ECF0AE,32619,32621
I07ECF0AE,36411,36413
I07ECF0AE,37787,37789
I07ECF0AE,40967,40969
I07ECF0AE,41968,41970
I07ECF0AE,43272,43274
I07ECF0AE,44546,44548
I07ECF0AE,45320,45322
I07ECF0AE,47023,47025
I07ECF0AE,48867,48869
I07ECF0AE,50036,50038
I07ECF0AE,52057,52059
I07ECF0AE,53318,53320
I07ECF0AE,54297,54299
I07ECF0AE,55834,55836
I07ECF0AE,56878,56880
I07ECF0AE,57939,57941
I07ECF0AE,59322,59324
I07ECF0AE,60356,60358
I07ECF0AE,60916,60918
I07ECF0AE,61202,61204
I07ECF0AE,62281,62283
I07ECF0AE,63435,63437
I07ECF0AE,63630,63632
I07ECF0AE,64334,64336
I07ECF0AE,64678,64680
I07ECF0AE,65062,65064
I07ECF0AE,65859,65861
I07ECF0AE,67605,67607
I07ECF0AE,68055,68057
I07ECF0AE,68365,68382
I07ECF0AE,75453,75471
I07ECF0AE,92505,92513
I07ECF0AE,92515,92582
I08405360,159,280
I0B81CD66,152,158
I0B81CD66,346313,346331
I0FCFA88F,0,51
I0FCFA88F,476,482
I0FCFA88F,5723,5740
I0FCFA88F,11321,11422
I0FCFA88F,90440,90561
I0FCFA88F,122360,122414
I0FCFA88F,237784,237802
I0FE9ED9E,117,190
I100E7DAD,150,156
I100E7DAD,6729,6746
I100E7DAD,13047,13097
I100E7DAD,340743,340761
I10C4C4B5,127,219
I130B5D0F,68,119
I130B5D0F,463,473
I130B5D0F,14469,14478
I130B5D0F,19328,19348
I130B5D0F,24972,24995
I130B5D0F,28979,29003
I130B5D0F,29928,29955
I130B5D0F,33741,33763
I130B5D0F,48537,48563
I130B5D0F,61405,61426
I130B5D0F,64142,64169
I1561B2F5,122,195
I163178A0,126,252
I1649804C,92,138
I19A08A51,149,298
I1CC06C39,138,241
I1DCBD5CC,133,139
I1DCBD5CC,1149,1206
I2133CA39,0,51
I2133CA39,53,71
I2133CA39,73,171
I2133CA39,173,216
I2133CA39,218,224
I2133CA39,9265,9282
I2133CA39,14894,14980
I2133CA39,298579,298597
I2342D649,231,406
I24EDBDA0,0,51
I24EDBDA0,72,202
I24EDBDA0,234,240
I24EDBDA0,2868,2885
I24EDBDA0,557275,557293
I2522EBB0,5744,5773
I2522EBB0,14801,14836
I2522EBB0,18738,18770
I2522EBB0,22159,22195
I25463E37,0,45
I25463E37,382,411
I25463E37,2233,2321
I25463E37,3963,4046
I25463E37,6939,6973
I25463E37,13947,14016
I25463E37,15096,15135
I25463E37,18374,18392
I25463E37,19964,20007
I25463E37,30625,30717
I25463E37,39976,40022
I25463E37,44112,44146
I25463E37,75736,75784
I25463E37,146887,146932
I27E347E9,0,51
I27E347E9,53,72
I27E347E9,74,243
I27E347E9,245,284
I27E347E9,2972,2989
I27E347E9,401760,401778
I27F687A4,46382,46469
I27F687A4,86125,86207
I29CFF9F3,0,103
I29CFF9F3,145,249
I29E8AA65,146,209
I29E8AA65,243,294
I29E8AA65,296,372
I29E8AA65,404,410
I29E8AA65,2664,2695
I29E8AA65,2696,2713
I29E8AA65,56275,56318
I29E8AA65,72563,72608
I29E8AA65,84288,84325
I29E8AA65,87950,87982
I29E8AA65,151767,151838
I29E8AA65,170817,170843
I29E8AA65,172329,172369
I29E8AA65,190054,190082
I29E8AA65,192516,192560
I29E8AA65,192784,192818
I29E8AA65,194113,194153
I29E8AA65,195161,195192
I29E8AA65,198853,198881
I29E8AA65,206092,206112
I29E8AA65,210190,210207
I29E8AA65,212985,213001
I29E8AA65,218308,218334
I29E8AA65,220518,220542
I29E8AA65,221299,221319
I29E8AA65,225369,225388
I29E8AA65,227229,227255
I29E8AA65,229411,229433
I29E8AA65,250076,250120
I29E8AA65,254933,254978
I29E8AA65,261265,261296
I29E8AA65,265347,265385
I29E8AA65,268729,268747
I2B02A144,210,217
I2B02A144,2873,2890
I2B02A144,557472,557490
I2BC62A6F,79,120
I2D0F4FAF,110,162
I2D96E5C8,185,191
I2D96E5C8,8981,8998
I2D96E5C8,14298,14433
I2D96E5C8,569284,569302
I2E02CF4A,182,245
I2E52374B,137,228
I2EAAF38A,111,121
I2EAAF38A,579,608
I2EAAF38A,1320,1326
I2EAAF38A,1327,1337
I2EAAF38A,1339,1367
I2EAAF38A,1396,1452
I2EAAF38A,1454,1470
I2EAAF38A,1471,1484
I2EAAF38A,1486,1512
I2EAAF38A,1514,1527
I2EAAF38A,1529,1544
I2EAAF38A,1545,1558
I2EAAF38A,1560,1577
I2EAAF38A,1579,1614
