pecha_id,batch,ann_id,raw_start,raw_end,start,end,action,n_merged,dropped,reason
I001D528B,new,503c46b3477d42c4b7c0813eed520a8d,160,259,160,259,keep,1,False,
I001D528B,new,a1441f6b098644a5aec20ab6964df9bc,261,299,261,299,keep,1,False,
I001D528B,new,cd0e807fd86d498088228882c88a50de,4415,4447,4415,4447,keep,1,False,
I001D528B,new,0259071c6958445dbfe8e27289a420bf,9561,9592,9561,9592,keep,1,False,
I001D528B,new,46a47bb181bf4ac7b182bcb5aa9b6365,15292,15328,15292,15328,keep,1,False,
I001D528B,new,b4eada4f3cd941a293512b1cad5d118c,21065,21084,21065,21084,keep,1,False,
I001D528B,new,50eacd49f81745d8929401c663929a09,22341,22365,22341,22365,keep,1,False,
I001D528B,new,0373a657dade4252b1ffde14cae075ce,29412,29468,29412,29468,keep,1,False,
I001D528B,new,b53b9c87f2864a2e8c838cb08b179ecf,39889,39928,39889,39928,keep,1,False,
I001D528B,new,775adae33d5c4f5fa240012fdb167987,47909,47950,47909,47950,keep,1,False,
I001D528B,new,fadeb02760b3429b971c973b37e52bfe,60112,60147,60112,60147,keep,1,False,
I001D528B,new,5821faa1692b4f82928f143186c0b45e,75323,75376,75323,75376,keep,1,False,
I001D528B,new,8ba7b565e3584569b4ef852cad9fa5e1,78266,78295,78266,78295,keep,1,False,
I001D528B,new,6474cf306b52450e9981777105d35f5d,81337,81384,81337,81384,keep,1,False,
I001D528B,new,6af7eca3d4cc4a1cb1f3ade5e0df1df3,119834,119862,119834,119862,keep,1,False,
I001D528B,new,a272b871859c4bada779817a2a669be8,130786,130818,130786,130818,keep,1,False,
I001D528B,new,9b66b956ef3b47ce800e2a4d41f28136,142484,142542,142484,142542,keep,1,False,
I001D528B,new,70863fbbb6bf411c8fb568bb41777468,156584,156621,156584,156621,keep,1,False,
I001D528B,new,c5a00ad076454c788aafe2d52b081679,165517,165558,165517,165558,keep,1,False,
I001D528B,new,20660df2cd51462c82dd72429ceb2fc7,173636,173686,173636,173686,keep,1,False,
I001D528B,new,7c0d6061135a4744858c5fdcb5390ae6,184101,184148,184101,184148,keep,1,False,
I001D528B,new,cf32579bb7b8489797235eba1da99f34,188944,188982,188944,188982,keep,1,False,
I0156A8B1,new,34403e9a43374d37ae69797a9bc21db3,57,170,57,170,keep,1,False,
I048844DB,new,6a7ca74e65b045269ed847120c7a719d,60,131,60,131,keep,1,False,
I058DD999,new,498f98b8c7c94d9a91113c268a7663eb,128,148,128,148,keep,1,False,
I058DD999,new,9e27cb70ffdc416f81bf061a754d50b9,150,173,150,173,keep,1,False,
I058DD999,new,25fb6385ba494e4b88a068a7273340fe,2535,2592,2535,2592,keep,1,False,
I058DD999,new,25260f658fc245c78cda79a48a70b768,5266,5325,5266,5325,keep,1,False,
I058DD999,new,e89e1eae10654d168848901d7e2ef987,19269,19338,19269,19338,keep,1,False,
I058DD999,new,5a5578fa9abf4769a2ef4094fa637ef7,21153,21186,21153,21186,keep,1,False,
I058DD999,new,ae3c286eee954315bd41083bbfb02976,22602,22625,22602,22625,keep,1,False,
I058DD999,new,143a6d703d2e4c79b949b7445ed17c3c,23942,23985,23942,23985,keep,1,False,
